filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,label,,,,,
disco.00046.wav,661504,0.376340747,0.093383096,0.113058634,0.003015463,2259.565542,278604.9387,2273.051334,137470.7802,4889.552594,1490231.003,disco,,,,,
classical.00031.wav,661794,0.303265631,0.08956977,0.026806114,0.0003425,822.2358298,68025.7386,1136.19224,66966.43424,1433.515127,387005.2518,classical,,,,,
classical.00073.wav,661794,0.216319218,0.084466018,0.043808654,0.000567441,1211.613043,104945.4933,1337.900713,91836.30145,2105.24115,445956.6335,classical,,,,,
jazz.00013.wav,661794,0.314324617,0.088912055,0.055482402,0.000309929,1789.982726,87877.89565,2312.885935,48958.43441,4397.319891,942388.6353,jazz,,,,,
reggae.00064.wav,661504,0.416665852,0.098625638,0.267852813,0.007309563,3094.390952,1053440.749,3136.002321,198598.3172,6974.84264,3409275.308,reggae,,,,,
disco.00084.wav,661504,0.503477156,0.088325247,0.062013172,0.002317273,2455.065763,569616.7236,2099.94027,89266.96338,4725.996841,1391125.062,disco,,,,,
metal.00015.wav,661504,0.485148013,0.067069687,0.110963918,0.000182345,2986.718851,129213.1269,2458.878205,27616.30665,5817.878458,379925.3817,metal,,,,,
jazz.00039.wav,661794,0.247629553,0.090190731,0.082272306,0.001596817,1310.931348,145045.946,1445.833698,37098.04526,2723.567161,712768.0012,jazz,,,,,
reggae.00080.wav,661504,0.476925582,0.093890592,0.195714921,0.010600089,2539.121009,876112.5028,2644.362516,166313.5299,5260.77136,2788412.905,reggae,,,,,
disco.00031.wav,661794,0.417212486,0.083855145,0.115770973,0.00250869,3256.774035,388656.2762,2898.215061,93277.92816,6681.338253,1590540.548,disco,,,,,
classical.00002.wav,661794,0.277958095,0.083758704,0.043859549,0.00019262,1490.275364,38993.33753,1600.115744,31200.89904,2785.294011,274835.3889,classical,,,,,
pop.00062.wav,661504,0.329793841,0.098440267,0.397973388,0.007164251,2467.912377,312087.7114,2624.842482,123632.4864,5480.391713,1606980.906,pop,,,,,
