filename,length,zero_crossing_rate_mean,harmony_mean,perceptr_mean,perceptr_var,tempo,label,,,,,,,,
disco.00046.wav,661504,0.114198146,5.72E-06,0.000119798,0.007155585,123.046875,disco,,,,,,,,
classical.00031.wav,661794,0.039443155,0.000400629,0.000320596,0.000157577,112.3471467,classical,,,,,,,,
classical.00073.wav,661794,0.070939751,-0.000132696,-0.000102159,5.91E-05,129.1992188,classical,,,,,,,,
jazz.00013.wav,661794,0.061075941,6.46E-05,0.000458405,0.000479082,99.38401442,jazz,,,,,,,,
reggae.00064.wav,661504,0.100864254,-1.14E-07,3.26E-05,0.007290589,172.265625,reggae,,,,,,,,
disco.00084.wav,661504,0.151418168,-8.34E-06,-2.03E-06,0.004432256,112.3471467,disco,,,,,,,,
metal.00015.wav,661504,0.169209279,6.85E-06,0.000499733,0.002230768,172.265625,metal,,,,,,,,
jazz.00039.wav,661794,0.076485689,-0.000160444,-0.001056456,0.000945561,99.38401442,jazz,,,,,,,,
reggae.00080.wav,661504,0.09429757,-0.000154762,-0.001066345,0.008855239,99.38401442,reggae,,,,,,,,
disco.00031.wav,661794,0.173751843,-1.71E-06,-5.00E-06,0.005047412,123.046875,disco,,,,,,,,
classical.00002.wav,661794,0.090045784,-1.97E-05,-0.000128681,9.17E-05,99.38401442,classical,,,,,,,,
pop.00062.wav,661504,0.098157371,-1.33E-05,-9.18E-05,0.038627759,161.4990234,pop,,,,,,,,
rock.00058.wav,661794,0.098954935,-0.001663902,-0.001619479,0.000802569,135.9991776,rock,,,,,,,,
hiphop.00083.wav,661794,0.110836823,-7.94E-05,-0.000838694,0.003519836,103.359375,hiphop,,,,,,,,
reggae.00067.wav,661504,0.060468327,-0.000196961,-0.000418977,0.002679766,83.35433468,reggae,,,,,,,,
hiphop.00038.wav,675808,0.097384366,0.001241384,-0.002822475,0.028025752,184.5703125,hiphop,,,,,,,,
jazz.00050.wav,669240,0.081262991,-8.72E-05,-0.001457602,0.004644883,151.9990809,jazz,,,,,,,,
country.00001.wav,661760,0.126988245,-6.69E-05,-0.001363285,0.005504311,129.1992188,country,,,,,,,,
hiphop.00008.wav,661794,0.177049724,0.000369888,0.000547301,0.007162179,172.265625,hiphop,,,,,,,,
jazz.00009.wav,661794,0.031686545,-6.73E-06,-4.27E-05,0.000221352,107.6660156,jazz,,,,,,,,
disco.00074.wav,661504,0.151073388,1.86E-05,0.000445236,0.012962254,112.3471467,disco,,,,,,,,
hiphop.00031.wav,661408,0.136443619,-0.000157084,-0.001193903,0.011283594,99.38401442,hiphop,,,,,,,,
metal.00058.wav,661794,0.142833406,-2.70E-05,-0.001125259,0.007224061,143.5546875,metal,,,,,,,,
pop.00001.wav,661504,0.149394426,3.66E-06,-0.000470578,0.030490633,107.6660156,pop,,,,,,,,
reggae.00090.wav,661504,0.130656963,8.27E-07,4.94E-05,0.009817995,151.9990809,reggae,,,,,,,,
disco.00020.wav,661794,0.103262988,-1.14E-06,-6.29E-06,0.003503913,161.4990234,disco,,,,,,,,
country.00036.wav,661794,0.084866529,1.99E-06,4.38E-05,0.000127859,112.3471467,country,,,,,,,,
country.00085.wav,661794,0.069267586,-5.88E-06,-9.51E-06,0.002668274,73.828125,country,,,,,,,,
